county_fips,score,yost_ses_quintile
21016,0.8486779999999999,5
21017,1.1385324137931034,5
21018,0.3078091666666667,3
21019,1.2844840909090909,5
21020,0.630518,4
21021,0.8468640000000001,5
21022,0.5392399999999999,4
21023,0.993913076923077,5
22000,1.0334693333333334,5
22001,0.4751917037037037,4
22002,1.2079477777777778,5
22003,0.21126722222222222,3
22004,0.9877454054054053,5
22005,0.2599138541666667,3
22006,0.7695632558139535,5
22007,0.45291455938697317,4
22008,0.8012737777777778,5
22009,1.0724154166666666,5
22010,0.5098395652173913,4
22011,0.9561200000000001,5
22012,1.0162292307692307,5
23000,-0.2020085294117647,2
23001,-0.053898608695652175,2
23002,0.28465882352941174,3
23003,-0.28146564102564103,1
24000,-0.33055171779141107,1
24001,-0.0994793023255814,2
24002,-0.6760195348837209,1
24003,-0.6647929562982006,1
24004,0.3218770588235294,4
24051,0.8338539795918368,5
25000,-0.14071126373626372,2
25001,-0.5519703738317757,1
25002,-0.3825854003724395,1
26000,0.12683954545454545,3
26001,0.18057183673469387,3
26002,0.11348456692913386,3
26003,0.10159884615384615,3
26004,-0.05875390804597701,2
26005,-0.02646666666666667,2
26006,-0.1592020338983051,2
26007,-0.24761095652173912,1
26008,-0.29202415094339623,1
26009,-0.2758950344827586,1
26010,-0.05548724137931034,2
26011,0.05954487179487179,3
26012,-0.7421588832487309,1
26013,-0.19661056603773583,2
26014,0.22332652173913042,3
26015,0.2592003333333333,3
26016,0.2130433711048159,3
27000,-0.595988623853211,1
27001,-0.5031324,1
27002,-0.228924,2
27003,-0.9481753153153154,1
27004,-0.0792715,2
27005,-0.8006714376996805,1
27006,-0.09792000000000001,2
27007,-0.008318947368421046,2
27008,0.042181818181818195,2
27009,0.15144,3
27010,-0.6685396,1
27011,0.10379363636363635,3
27012,-0.4197113333333333,1
27013,-0.373231320754717,1
27014,-0.2607420408163265,1
27015,0.13530090909090908,3
27016,-0.8960220588235294,1
27017,-0.24097428571428572,2
28000,1.0198118518518517,5
28001,1.1029685714285715,5
28002,1.0478704,5
28003,0.29229148936170213,3
28004,0.2076582456140351,3
28005,0.5803652380952381,4
28006,0.8707238095238095,5
28007,0.5963094117647059,4
28008,0.2561760714285714,3
28009,1.1495924137931035,5
28010,0.7337048275862068,5
28011,1.0621227272727274,5
28012,0.4859,4
28013,1.1054439999999999,5
28014,0.7965246153846154,5
28015,1.105660625,5
28016,0.9219688888888888,5
29000,0.48114833333333334,4
29001,-0.051878139534883724,2
29002,0.5406829629629629,4
29003,0.0743055,3
29004,-0.35978733333333335,1
29005,0.34691923076923076,4
29006,1.0788280000000001,5
29007,0.09508305882352941,3
29008,0.7929166666666667,5
29009,0.1195597810218978,3
29010,0.5458178571428571,4
29011,0.8118469565217391,5
29012,0.7443990476190476,5
29013,0.9676959999999999,5
29014,0.6912303448275863,5
29015,0.8416428571428571,5
29016,-0.21344428571428573,2
29017,0.7321376470588236,5
29018,-0.5356215384615385,1
29019,0.773985,5
29020,0.8920764285714285,5
29021,0.7090281818181818,5
29022,1.0283655555555555,5
29051,0.7604242201834862,5
30000,-0.016012000000000005,2
30001,-0.21686470588235296,2
30002,-0.3094975,1
30003,-0.48694210526315795,1
30004,-0.42808125,1
30005,0.024487272727272722,2
30006,-0.4990862068965517,1
30007,-0.06592222222222223,2
30008,-0.056919166666666667,2
30009,-0.18545684210526314,2
30010,0.28359999999999996,3
30011,-0.6037985185185185,1
31000,-0.117984,2
31001,-0.3372047058823529,1
31002,-0.24723066666666665,2
31003,0.034222857142857145,2
31004,0.23918888888888892,3
31005,-0.44659025316455697,1
31006,0.10489999999999998,3
31007,-0.11730555555555555,2
31008,-0.07563600000000001,2
31009,0.076578,3
31010,-0.6330107936507937,1
31011,-0.07171684210526316,2
31012,-0.03453555555555556,2
31013,-0.12936333333333333,2
31014,0.009831764705882358,2
31015,-0.6877912280701753,1
31016,0.0443175,2
31017,-0.2947033333333333,1
31018,-0.37272,1
32000,-0.13450316076294278,2
32001,0.2607830769230769,3
32002,0.41089999999999993,4
32003,-0.5408452173913043,1
32051,-0.3246266666666667,1
33000,-0.2734695652173913,1
33001,-0.6283570854271356,1
34000,-0.3060941463414634,1
34001,0.2744051789473684,3
34002,-0.5080049241146711,1
34003,-0.13111543408360127,2
34004,-0.42647565217391303,1
35000,-0.1822940350877193,2
35001,0.4796864150943397,4
35002,0.6452974193548388,4
35003,0.5749360869565218,4
35004,-0.172171914893617,2
35005,0.48056952380952384,4
35006,0.31453333333333333,3
36000,0.5842924948453608,4
36001,0.198803,3
36002,-0.04976814371257485,2
36003,0.2310523076923077,3
36004,0.49819536374845874,4
36005,-0.46443791411042945,1
36006,-0.1885882269503546,2
36007,-0.1249764705882353,2
36008,0.08229525773195877,3
36009,-0.21100504504504505,2
36010,-0.49016071246819337,1
36011,-0.40598242038216564,1
36012,0.31886,4
37000,0.6692391304347826,4
37001,0.6649105882352941,4
37002,0.3389665934065934,4
37003,0.36420542372881354,4
37004,0.6846262222222222,4
37005,0.08631886363636364,3
37006,0.11359443708609272,3
37007,0.7130833898305085,5
37008,0.05312692810457515,3
37009,0.43592117647058826,4
37010,0.6594717647058823,4
37011,-0.3163125,1
37012,0.08266478873239437,3
37013,-0.13879,2
37014,0.4562926315789474,4
37015,0.8235196078431372,5
37016,0.8327936170212766,5
37017,0.34899384615384615,4
37018,-0.6073107936507937,1
37019,0.7828301639344262,5
38000,0.08965076923076923,3
38001,-0.6315755102040816,1
38002,0.369482,4
38003,-0.34977478260869566,1
38004,0.581908,4
38005,0.13179888888888888,3
38006,0.04656428571428571,2
38007,-0.025847999999999993,2
38008,0.11225375,3
38009,0.064165,3
38010,-0.0885286956521739,2
